Date,ProblemType,ExampleNumber,ErrorMyMethod,ErrorMusserMethod,ErrorMatlabMethod,ErrorMultroots,MeanMethod,Preproc,emin,emax,LowRankMethod,DeconvolutionMethod,TimeMyMethod,TimeMusserMethod,UX_Method
25-May-2016 09:45:24, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.108392e-07, 	 3.967972e-08, 	 2.056537e-10, 	 2.056587e-10, 	 None, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.188044e-01, 	 1.150088e-01, 	 From ux 
25-May-2016 09:45:24, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.627663e-12, 	 1.182335e-12, 	 6.989252e-13, 	 1.386175e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 3.199868e-01, 	 4.644793e-01, 	 From ux 
25-May-2016 09:45:25, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 6.578229e-12, 	 3.668115e-12, 	 6.989252e-13, 	 1.386175e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 5.218514e-02, 	 3.026325e-02, 	 From ux 
25-May-2016 09:45:25, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 7.440645e-13, 	 1.204500e-12, 	 6.989252e-13, 	 1.386175e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 5.118871e-02, 	 3.660639e-02, 	 From ux 
25-May-2016 09:45:26, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 4.290837e-08, 	 1.442287e-06, 	 2.056537e-10, 	 2.056587e-10, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 6.205015e-01, 	 9.550839e-01, 	 From ux 
25-May-2016 09:45:27, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.449418e-11, 	 5.749896e-11, 	 7.019364e-12, 	 1.386345e-11, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 2.906820e-01, 	 4.209264e-01, 	 From ux 
25-May-2016 09:45:28, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.626595e-11, 	 1.183576e-11, 	 7.019364e-12, 	 1.386345e-11, 	 None, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 2.675455e-01, 	 4.678978e-01, 	 From ux 
25-May-2016 09:45:28, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 6.571964e-11, 	 3.654053e-11, 	 7.019364e-12, 	 1.386345e-11, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 5.070678e-02, 	 3.909010e-02, 	 From ux 
25-May-2016 09:45:29, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.078235e-09, 	 5.381085e-08, 	 2.056537e-10, 	 2.056587e-10, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.540631e-01, 	 1.003309e+00, 	 From ux 
25-May-2016 09:45:29, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 1.021321e-11, 	 9.652349e-12, 	 7.019364e-12, 	 1.386345e-11, 	 None, 	 n, 	 1.000000e-11, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 6.180048e-02, 	 5.329179e-02, 	 From ux 
25-May-2016 09:45:30, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.213311e-06, 	 3.416499e-06, 	 2.056537e-10, 	 2.056587e-10, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 1.654135e-01, 	 1.208111e-01, 	 From ux 
25-May-2016 09:45:30, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.552296e-06, 	 9.549757e-08, 	 2.056537e-10, 	 2.056587e-10, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.170401e-01, 	 1.155416e-01, 	 From ux 
25-May-2016 09:45:30, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.448927e-11, 	 5.749896e-11, 	 7.019364e-12, 	 1.386345e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-11, 	 1.000000e-12, 	 None, 	 Batch, 	 2.917075e-01, 	 4.133446e-01, 	 From ux 
