date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 9.243485e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 1.008576e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 1.740604e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 8.014306e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 5.419430e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 1.190725e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=9 n=7 t=6 low=-1 high=5, 	 9, 	 7, 	     6, 	 9.405371e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 9.949517e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=9 n=7 t=6 low=-1 high=5, 	 9, 	 7, 	     6, 	 1.517402e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	     6, 	 1.008567e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:55, 	 GCD, 	 Custom:m=9 n=7 t=6 low=-1 high=5, 	 9, 	 7, 	     6, 	 2.747551e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
